제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2024-06-13,5,알찬 놀이교실 운영에 도움!,"쏭쌤과 이종대왕 샘! 너무 대단하시고 감사합니다. 평소에 영상으로 접하다가 알짜배기 수업놀이, 학급놀이를 정리하고 실제 활용할 수 있는 놀이들을 구성해주셔서 많은 도움이 될 것 같습니다! 다음에 2탄 연수를 바라며~ ",학급경영,"85,000원",유초등,1
다양한 재료로 쉽게 따라 하는 캘리그라피,15차시,2024-06-13,5,연습이 필요합니다.,"말 그대로 글씨 연습이네요. 많이 연습해야 하는 연수입니다. 글씨를 쓰는 동안 마음도 차분해지고 머리도 맑아지는 기분이었습니다. 교재를 굳이 사지 않아도 다운받아 연습할 수 있는 교재가 있었네요. 교재 구입하며 받은 액자, 뱃지  등의 재료들은 글씨가 예쁘지 않아 사용하지 못했습니다. 한 번쯤 들어봐도 좋을 듯 합니다.",자기계발,"40,000원",전체대상,1
"기초학력교육, 관계형성이 먼저다.",15차시,2024-06-13,5,딱딱할 줄 알았으나 부드러운 강의 내용,"기초학력 교육이라 그래서, 이미 알고 있는 내용을 가르칠 것이라 생각해서 별 기대없이 들었던 연수였습니다. 그런데 기초학력에 도움되는 사이트 설명이나 부진아 들에게 도움이 되는 다양한 보드게임을 소개해주셔서 재밌게 들었습니다. 이렇게 학생들이 흥미를 가질 만한 지도 내용을 소개해주셔서 실제로 활용할 때 도움이 많이 될 것 같아요!",학습지도,"40,000원",유초등,1
시크릿 플레이리스트 슈퍼콘서트,30차시,2024-06-13,5,문해력이란?,요즘 교육적 이슈가 되고 문해력에 대해서 막연히 알고 있던 것을 넘어서 바르게 이해할 수 있는 기회가 되었음. 학급내에서 너무나 많은 차이를 보이는 아이들의 읽기 능력의 배경을 이해하고 지도하는데 도움이 됨.,자기계발,"85,000원",전체대상,1
일본 현지 성우와 함께 배우는 마법의 360문장,30차시,2024-06-13,5,유익하고 보람있는 일본어 연수,"다양한 문장을 통해 어휘와 문법을 자세히 배울 수 있어 유익하고 보람있는 일본어 연수라고 생각됩니다. 특히, 다양한 성우를 통해 생생한 일본어는 다른 연수에 없는 알찬 구성이라고 사료됩니다. 마지막에 존경어와 겸양어만 추가된다면 더욱 완벽한 중급 일본어 연수가 되리라 확신합니다.",어학,"85,000원",전체대상,1
이야기가 있는 유쾌한 클래식,30차시,2024-06-13,5,딱딱하지 않는 편안한 강의,강의 형식이 아니라 편안한 이야기를 듣는 느낌이라 좋았습니다.,자기계발,"75,000원",전체대상,1
고전읽기로 1년 학급운영 쉽게 끝내기,30차시,2024-06-13,5,새롭게 고전을 되돌아 보게 된 기회,고전읽기 연수를 통해  새롭게 고전을 되돌아 보게 된 기회를 가졌으며 나름대로 다시 고전을 접하며 고전에서 새로운 해석과 의미를 부여해 보았다.,학급경영,"85,000원",유초등,1
"어서 와! 이탈리아는 처음이지, 본격 이탈리아 도시 여행",15차시,2024-06-13,5,편안한 연수,편안하게 들을 수 있는 연수입니다.,자기계발,"50,000원",전체대상,1
"미래를 여는 교육, 2022 개정 교육과정(초등편)",15차시,2024-06-13,5,도움되었습니다,마음먹고 연수를 듣지 않는 한 바뀐 교과서를 토대로 대략적인 교육과정만 알게 되는데 개정교육과정 연수가 있어 큰 흐름을 이해할 수 있었습니다. 감사합니다.,학습지도,"50,000원",유초등,1
직업탐구 - 별일입니다,30차시,2024-06-13,5,여러 가지 유망 직업에 대해 알았습니다.,미래를 대비할 수 있는 직업에 대해 학생들에게 많은 도움을 줄 수 있을 것 같습니다.,학습지도,"75,000",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-06-13,3,IB에 대한 개념이해에는 도움이 되는 연수,IB에 대한 개념이해에는 도움이 되는 연수입니다. 실제 어떻게 하는 건 알기 어려워요,학습지도,"50,000원",전체대상,0
"미래인재의 역량을 키운다, 미래교육 20분",30차시,2024-06-13,5,배움이 있는 수업,생각했던 미래교육 뿐 아니라 다양한 분야의 미래교육을 접할 수 있었다.,자기계발,"75,000원",전체대상,1
KOICA와 함께하는 세계시민교육,30차시,2024-06-13,5,코이카 사례를 함께 볼 수 있어서 좋았습니다.,코이카 사례를 함께 볼 수 있어서 좋았습니다.,교과지도,"65,000원",전체대상,1
정재승의 인간수업,30차시,2024-06-13,5,믿고 듣는 정재승 교수님,믿고 듣는 정재승 교수님의 연수였어요. 뇌에 대해 재미있게 공부할 수 있는 시간이었습니다.,자기계발,"85,000원",전체대상,1
알면 편한 심리학 with 유미의 세포들,30차시,2024-06-13,5,웹툰이랑 연결해서 보니까 재밌어요,연수 내용도 이해하기 쉽고 웹툰 내용과 연결해서 보니까 재미있었어요.,자기계발,"75,000원",전체대상,1
유네스코 아태교육원과 함께하는 세계시민교육,30차시,2024-06-13,5,세계시민교육의 개념을 잡기에 좋아요,세계시민교육의 개념을 잡기에 좋아요. 실 수업에 유용한 사례가 더 많으면 좋겠습니다.,생활지도,"75,000원",전체대상,1
"마음을 이어주는 마법, 타로 이야기",30차시,2024-06-13,5,아이들과의 상담에 유용했어요,고학년 아이들과 상담할 때 마음 열기 작업으로 활용할 수 있어서 좋았습니다.,자기계발,"75,000원",전체대상,1
"학습부진, 기초튼튼! 실력쑥쑥!",15차시,2024-06-13,5,학습부진연수,"각 학생별로 학습부진의 원인과 유형이 다른데, 다양하게 짚어주셔서 좋았습니다.",학습지도,"35,000원",전체대상,1
"학습부진, 천천히 함께 걷기",15차시,2024-06-13,5,학습부진,유용한 연수입니다 추천!,학습지도,"35,000원",유초등,1
Talk Talk(똑똑)한 금융교육,15차시,2024-06-13,5,요새 관심사에 딱,요새 관심사에 딱이라 들어본 연수 추천합니다 ㅎㅎ,학습지도,"35,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-06-13,5,알베르토와 함께해서 좋앗던 연수였습니다,알베르토와 함께하는 다문화교육은 재미있고 흥미로웠습니다. 앞으로도 또 듣고 싶습니다!,생활지도,"75,000원",전체대상,1
