제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-05-01,5,연수 잘 들었습니다.,많이 그려봐야 할 것 같습니다^^,자기계발,"40,000원",전체대상,1
조병영의 문해력 수업,30차시,2023-12-14,5,좋아요,"문해력 수업의 기초 강의입니다._x000D_
자세한 교안 파일이 올려져 있으면 더 좋았을 듯 합니다.",학습지도,"75,000원",전체대상,1
혼자서 끝내는 토익,11차시,2024-02-14,5,토익 연수 후기,생각보다 훨씬 재미있고 유익한 영어 연수였습니다.,어학,무료,전체대상,1
꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,30차시,2024-04-15,5,"직업눌이, 학급 경영에 따뜻함이 피어납니다.","직업눌이, 학급 경영에 따뜻함이 피어납니다. 연수 이수 후 2년째 직업놀이 중입니다. 아이들이 참 좋아합니다.",학습지도,"75,000원",전체대상,1
"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",30차시,2024-05-28,5,한국어교원양성과정 Ⅰ,한국어교원양성과정 Ⅰ연수 수강이 쉽지는 않았다.  나에겐 고등 국어 문법을 다시 공부하는 이상의 난이도였던 것 같다. 그렇지만 꼭 듣고 싶었던 연수였던 만큼 유익한 연수여서 뿌듯하다. 좋은 연수가 개설되어 감사합니다.^^,학습지도,"75,000원",전체대상,1
교실에서 바로 적용하는 스마트기기 활용 수업,15차시,2024-06-12,5,교실에서 스마트기기 활용에 도움되는 연수,"교실에 있는 스마트 기기를 어느 정도 사용한다고 생각했는데, 이 연수를 통해 보다 더 많은 사용 방법을 알게 되었고, 수업에 필요성 또한 느끼게 되었습니다.",학습지도,"50,000원",유초등,1
교사를 위한 구글 활용법(입문자편),15차시,2023-12-29,5,도움이 되는 실질적인 연수,입문자용으로 구글 사용의 전체적 맥락을 잡기에 좋은연수였습니다. 그리고 구글을 사용하고자하는 마음을 갖게 하는 연수였습니다 교사가 직접 현장에서 사용하는 구글로 연수 하다보니 도움이 더욱 많이 되었습니다. 구글이 앞으로 정말 필요한 프로그램이라는 것을 절실히 느꼈고 모든 프로그램을 독식할 수도있겠구나하는 거대함도 느꼈습니다. 알찬 설명 감사했습니다.,ICT,"40,000원",전체대상,1
독서지도사 양성과정 1,30차시,2024-04-23,5,좋은 기회였습니다,심화해서 잘 연수하고 자격증까지 받았으면 좋겠습니다,학습지도,"85,000원",전체대상,1
"공감의 통합교육, 너도 우리반이야!",30차시,2024-03-06,5,좋은 강의였어요.,좋은 강의 감사합니다.,생활지도,"65,000원",전체대상,1
"교권, 법에서 답을 찾다",30차시,2024-04-24,5,아는게 힘이다.,아동인권과 더불어 교권보호에 관한 사항을 정확하게 인지하고 있어야만 무너지고 있는 교육현장을 지킬 수 있지 않을까 생각합니다.,생활지도,"75,000원",전체대상,1
꼬리에 꼬리를 무는 교권이야기,15차시,2024-04-16,5,유익한 영상 또 보고싶은 영상입니다,헷갈렸던 내용을 한번에 정리받는 유익한 영상 이었습니다. 감사합니다,생활지도,"85,000원",전체대상,1
꼬리에 꼬리를 무는 교권이야기,15차시,2024-03-28,5,알찬 강의 내용 도움이 많이 되었습니다. 감사합니다.,소홀히 여겼던 학교폭력과 교권침해에 대해 많이 도움이 되었습니다. ,생활지도,"85,000원",전체대상,1
"[자율연수] 탤짱쌤의 컴퓨터 활용 꼼수, 이 정도면 나도 스마트",7차시,2024-01-09,5,감탄 무료 연수,이렇게 알찬 내용이 무료라니 그저 감사합니다~~!!!,ICT,무료,전체대상,1
